Term,Frequency
fistula,299
drainable,13
colelction,2
uncinate,2
intraductal,1
mucinous,4
pan,1
catheterization,29
screws,36
illiac,1
ccu,19
nonobstructing,17
pneumatosis,33
scoliosis,96
demineralization,12
dynamic,57
nonobstructive,17
suboptimal,58
moderatetolarge,68
ett,779
knob,43
us,305
metabolic,12
acidosis,14
unilat,128
malignancies,7
rue,37
erythema,15
lue,29
query,34
scale,66
walltowall,11
response,35
respiration,17
occlusive,85
brachials,3
cephalic,99
compress,14
hyperechoic,10
anechoic,6
chgc,12
overhydration,24
ogt,72
mmp,9
ruptured,8
afib,76
rvr,17
make,19
sure,17
way,15
shooting,1
inserted,136
peaeval,1
revised,95
hemispheric,19
vertex,76
watershed,23
microvacular,1
surprisingly,1
finally,19
cavernous,41
supraclinoid,15
form,16
forehead,1
creating,9
streak,40
artifacts,60
already,32
comment,59
relate,84
unresponisive,2
pea,28
code,20
unresponsive,35
cabg,182
sternal,147
rotation,99
whose,47
arrest,114
rkkr,1
perihepatic,37
injury,91
containednonruptured,1
aaa,35
extend,58
paracolic,26
gutter,25
arms,8
move,18
traumatic,24
atrophic,54
apperance,7
display,56
nephrograms,9
contain,32
infrarenal,69
bifurcation,74
perimeter,3
band,9
contained,20
laterally,174
balloon,95
intrapelvic,23
osteophytes,38
benignappearing,1
si,40
unclear,117
origin,234
proximity,19
compressions,5
patholgy,3
cant,8
rupture,17
relation,6
distention,131
west,22
edemahemorrhage,1
anisocoria,3
aside,50
subfalcine,82
uncal,46
excluding,5
rightward,204
relayed,13
pulseless,3
electrical,2
activity,80
indicative,55
lboe,1
encasement,64
aplatcspcxrabd,3
slg,3
fb,3
needs,189
foreign,40
projecting,228
moreoever,1
radiopaque,64
orbits,78
cholecystectomy,65
considerable,42
artifactual,21
preclude,5
falltelemetry,4
metastatses,1
occiput,14
statuspost,41
bubbles,20
vermis,16
patch,6
gadolin,48
performmr,2
weighted,63
hyperintense,64
exhibited,1
reduced,80
operative,110
bilobed,18
peripherally,87
situated,22
deposit,16
gyrus,26
retrospect,24
perhaps,47
yet,13
rectus,12
reduction,100
consequence,12
cluster,7
dwi,22
gadoliniu,1
slurred,6
add,4
wand,74
mp,18
rage,15
hemispheres,88
intensity,98
profound,5
medulla,11
lesser,67
pons,47
distorted,2
meningioma,27
suprahilar,117
hip,126
spurring,3
trochanters,3
ischial,7
ramus,14
limiting,35
metsich,2
chemo,101
jk,1
chemotherapy,81
found,180
neoplastic,111
metastais,1
rd,36
define,4
ra,21
pod,133
contrary,2
epidural,163
observed,74
sutures,104
apically,28
basilary,1
postprocedure,47
submitted,77
chain,51
postinflammatory,1
shifted,118
project,52
pulling,16
inflated,40
cardiomediastinum,29
atelectases,27
components,76
despite,108
contusion,52
row,2
developed,162
postoperatively,14
highlying,3
cuffing,7
etiologies,25
rapidly,22
syndrome,248
intubatin,1
shifting,33
noting,2
advancing,14
shortly,19
evak,6
tors,4
hypotensive,34
mdag,24
anticoagulation,49
spaceoccupying,4
detecting,15
metatatic,1
sensitivity,18
contrastclip,11
omnipaque,107
compresses,27
diffusely,120
cw,37
porta,22
clavicular,38
heads,29
determine,53
phone,99
volumetric,30
presented,97
respectively,47
reformation,34
lingular,185
example,77
bulkier,1
pericardium,87
ending,35
others,19
subpleural,51
attenuated,27
parapelvic,10
diverticula,49
smv,10
b,126
nonhemorrhagic,57
necessarily,3
heterogeneity,15
retracting,4
seating,2
coursing,60
loop,49
pointing,19
semierect,62
svccavoatrial,2
widening,168
severity,32
carcinomasda,13
pneumonectomy,1373
twoview,23
sixth,58
positional,30
limit,34
overlie,34
summation,4
endonview,1
intercostal,133
flap,47
colleagues,1
fills,18
helpful,127
afternoon,19
postpneumonectomy,34
fifth,50
gradual,19
butthe,1
accumulation,46
stopped,5
discontinuation,9
atelectasisrml,2
evacution,1
simulating,2
conventional,29
intraparenchymal,92
dating,85
torsion,39
complicated,74
interpreted,18
disappeared,10
surgically,15
reaches,19
thus,29
normalized,2
negativemediastinal,1
output,59
aspf,12
plug,48
truncus,2
subsuperior,2
causes,85
narrow,20
extraluminal,21
extravasation,59
close,68
negative,46
kernel,2
algorithm,14
sections,25
minimum,2
workstation,25
vitreous,4
incline,1
gland,302
superiorly,103
terminate,74
takeoff,33
supplying,66
outward,3
bulge,70
eventually,7
becomes,6
distally,63
amorphous,4
active,74
definitively,36
tubular,23
airfilled,43
proximally,36
obstructed,31
intended,2
calcific,21
incomplete,46
cardiothoracic,4
fellow,28
soon,4
completion,58
newonset,9
calf,45
absess,3
rulobectomy,92
wbc,70
videoassisted,2
thorascopic,1
enlarging,65
paramediastinal,96
radiography,9
expanded,67
artiers,1
supply,84
compromised,8
angiogram,110
occluded,103
alternatively,46
torsed,1
lowattenuation,66
osteophytosis,14
necrotic,181
conjunction,78
impairment,13
raised,10
superinfection,13
addendum,108
bulging,34
perisutural,1
smalltomoderate,106
hyperaerated,1
result,49
convex,35
bal,20
lavage,10
bedside,153
actue,5
ru,20
interstial,4
sharply,20
truncated,1
incidentally,38
collapseeffusion,7
supported,1
deviated,25
cardiophrenic,33
sulcus,68
member,5
oxygenation,15
gaseous,26
feeding,293
interim,84
pneumothoraces,57
rsxn,23
pls,274
cleared,50
rulrmlobectomy,2
priors,85
evolving,89
alveolar,202
collapseafib,2
necessary,25
rmlobectomy,5
lobectomies,46
rind,5
fainter,1
blurring,17
bronchogram,14
chffluid,4
sitting,55
comparing,11
bronchoscopic,35
rmlrll,25
plugs,22
like,75
ureteral,19
nephrolithiasis,9
decompression,48
perc,70
nephrosto,5
nephrostomy,20
intro,28
antegrade,24
urography,1
hydro,10
stone,54
gmpd,1
percutaneous,53
radiologists,76
administering,35
divided,50
doses,53
intraservice,39
hemodynamic,55
parameters,47
continuously,54
brought,67
angiography,134
suite,67
prone,26
micropuncture,110
calix,3
collecting,36
accustick,5
inner,52
stiffeners,1
leaving,3
nephrostogram,1
urine,52
passing,26
ureter,39
sutured,8
dressing,64
pulmo,1
shock,52
diarrhea,40
half,50
elevation,325
pressure,99
specifically,69
rightside,4
decub,25
jrld,9
layers,20
combined,23
omed,38
dlnc,12
accompanied,52
increasednew,2
yr,30
wsob,2
rv,8
dysfunction,14
pressures,12
radiopharmaceutical,25
maa,3
tcm,6
dtpa,5
aerosol,6
elsewhere,61
perfusion,126
matched,5
likelihood,4
ration,1
dvtpt,1
leg,190
painswelling,1
nscla,1
lle,16
unilateral,17
nonoccluding,6
organized,9
adequate,53
femorals,4
localized,29
episode,42
bmzb,1
extrarenal,3
gi,144
bleeding,307
ymf,17
presacral,10
eroding,12
sacrum,59
relationship,7
help,23
delineate,11
insufficiency,11
declined,4
severely,50
perinephric,17
ectatic,17
similarly,20
impossible,15
poorly,89
marginated,24
corresponds,63
jr,17
flank,17
evening,22
afebrile,5
wetread,5
jxkc,17
whether,77
jkang,6
seven,23
definitive,21
eighth,22
rlung,12
aspergillus,11
mycoplasma,3
indications,172
aspergillous,1
microplasma,1
palat,4
hepatoslenic,1
candidiasis,4
fungus,6
baleval,1
hepatosplenic,3
intrahepatic,84
gallstone,42
sign,50
cbd,21
calculi,29
tl,62
complained,2
chestflankback,1
terder,1
tw,20
stir,51
marrow,66
herniations,3
discs,9
desiccated,2
paramedian,24
affect,6
nerve,61
root,29
adn,6
questions,31
follow,191
radiographic,101
swollen,29
brachial,180
waveforms,83
jugularsubclavian,1
makes,21
unlikely,26
rereview,1
benign,43
noncalcified,30
granuloma,36
intrapulmonary,28
retrospective,11
allergy,31
subtotal,20
debris,22
thickwalled,9
containment,1
bacterial,9
tb,34
lungmediastinal,34
bx,137
loc,6
fine,26
asp,29
v,81
mycobacterium,1
send,31
gram,29
stain,9
aerobic,3
anaerobic,4
cx,9
afb,2
stainsplease,1
page,42
micro,3
signed,10
anesthetic,10
continuous,82
coaxial,17
franseen,4
times,11
specimens,7
sent,41
microbiology,8
utilized,14
entirety,14
pnapneumothorax,4
pneumoniapneumothorax,1
behind,23
overinflated,22
overinflation,7
bring,3
osh,191
comp,3
fullness,94
cross,10
fu,143
aneurysmsda,7
mainstem,269
pulled,168
opacificaton,1
sheaths,2
ck,6
postleft,7
pseudoaneurysm,22
intrapericardial,4
xrt,87
interstitium,10
bleb,11
pneumomediastinum,119
pneumopericardium,6
unexpected,10
ligation,8
arterially,4
questioned,9
fairly,38
cul,2
de,1
returned,14
clarify,7
extreme,41
structurally,2
balance,3
tubethe,1
midsvc,16
midzone,19
unfolded,28
profile,2
hypoxemic,18
flexible,18
esophagoscopy,6
nrb,8
orthopedic,5
hardware,82
structural,6
damage,16
nonverble,1
pacu,35
aphasia,9
involutional,31
hypoattenuation,68
intrcranial,1
discomfort,14
complains,4
degraded,33
recurrence,37
fusion,164
bones,118
esophageal,261
perf,42
prolonged,34
emesis,23
lg,7
gastrograffin,4
esophogram,2
initially,42
carried,8
medium,2
perforation,77
ulcerations,3
flowed,3
tolerate,31
episodes,23
duodenal,17
tear,11
house,24
midepigastric,5
kub,21
sx,9
ekek,3
retroesophageal,5
epigastric,16
hiatus,15
pneumobilia,9
ducts,9
dots,1
hepatis,12
peritoneum,13
portahepatis,1
draining,27
collaterals,29
hollow,2
viscus,7
esophagram,9
tract,71
emergency,20
medicine,16
responsible,23
ttp,6
ray,42
directly,25
substernal,4
midthoracic,4
obliterated,24
retained,58
screw,16
plate,21
fixation,32
priro,1
tubing,16
apicial,1
alone,16
feasible,10
brainchest,25
live,1
vp,33
shunt,67
indicating,103
documented,18
ventriculostomy,76
sudden,66
responsiveness,14
eight,20
worst,6
noncontrastenhanced,2
intratumoral,1
functional,57
withdrawn,76
bxneedle,12
guidancelocalization,20
siclip,12
preprocedure,87
timeout,116
verify,25
identity,23
subxiphoid,3
entry,20
bicarbonate,6
biopsies,16
bard,6
nursing,23
technically,35
skeletal,59
thirtynine,1
distributed,10
maintain,9
duration,6
cancers,4
notified,21
nkg,14
sample,24
li,2
aquired,9
debilitation,5
multiphasic,11
ill,59
defined,121
four,94
consist,2
conglomeration,17
narrows,38
wow,6
dome,27
guided,123
pmh,11
cerebrum,7
many,31
lie,12
lentiform,7
dorsal,5
claviculi,1
hemorrhagic,243
maximum,28
temporal,301
septum,40
pellucidum,27
effaced,18
displace,6
pineal,6
break,2
worseing,2
concerned,11
ongoing,26
nonenhanced,16
suprasellar,28
cistern,45
quadrigeminal,5
narrowed,124
unresponsiveness,8
lethargic,8
hydrochephalus,1
alert,1
oriented,15
became,12
numerable,1
hyperdensities,12
sugestive,1
examinations,123
identfied,2
organ,53
preparation,16
dominant,108
echoic,2
ngtube,6
disdtal,1
thoraciclumbar,2
abdompelvic,2
encroachment,13
expansile,11
height,87
pedicles,18
elements,21
particular,31
posterolateral,32
repositioning,90
dobhoff,128
repositioned,80
dobbhoff,154
perimesencephalic,9
intensive,4
care,25
asap,11
curled,7
curling,6
pullback,14
ex,38
expanding,16
cordnerve,1
anatomic,31
lumbosacral,17
nearanatomic,1
retropulsion,53
indentation,27
thecal,76
resorption,5
measurement,18
seem,4
sizes,5
intraventricular,88
manipulation,11
track,15
physical,6
edge,21
conspicuity,10
malfunction,2
ha,14
headache,29
staples,104
csf,50
meningitis,38
drainiage,1
thrombocytopenia,14
swellingedema,2
furthere,1
saturation,53
selfextubation,7
grown,18
radiodense,8
recognized,4
migrated,14
bloodtinged,5
brachy,2
descends,11
striking,8
exist,10
accessible,12
describing,3
inoperable,1
antrum,29
tachy,10
flash,26
cordis,15
trach,177
tracheostomy,430
semi,17
analyzed,42
cannula,10
later,30
scar,19
cranial,52
uncomplicated,57
fluor,27
plctreplctremove,65
vas,40
nscslc,1
peripherals,1
physicians,30
doctors,6
examined,7
prep,14
drape,7
realtime,7
puncture,56
hardcopy,1
postpuncture,2
inch,16
guidewire,154
exchanged,150
lumens,12
aspirated,42
capped,9
hep,38
fixed,4
transparent,4
resolving,74
indicates,29
errant,1
respective,11
diuresing,3
implants,22
remission,4
worseig,2
depending,8
circumstances,4
self,15
extubation,153
implanted,3
infil,13
black,4
cv,72
dysnea,2
super,2
dimensionelectromagnetic,1
fiducials,17
reveal,100
pretracheal,66
fulfill,1
qith,1
objects,3
seventh,39
devlopment,1
entrance,12
systolic,23
production,15
pneumoperitoneum,59
failurerenal,2
pubis,12
produced,1
situ,60
interposition,4
chilaiditis,2
sidewalls,2
resected,33
fatfilled,1
anterolisthesis,28
variant,7
penile,10
definition,24
penus,2
metas,2
pinus,1
prostatectomy,8
penis,3
hypoechoic,36
echogenic,36
shadowing,5
tattoos,1
radiotherapy,10
postradiotherapy,4
fibrous,8
cardiopulm,34
duallead,14
suboptimally,19
demineralized,14
sclc,81
anticoag,6
atherosclerosis,27
ed,51
pat,1
anys,2
sings,2
discharged,9
comes,5
get,49
augmentability,1
variation,30
neutropenic,25
aspects,27
must,54
proven,10
platlets,1
centrum,41
semiovale,40
multiplicity,1
polytrauma,11
blunt,21
maintained,34
recurred,9
angulation,16
heavily,24
focally,13
struck,15
vehicle,20
orif,2
degloving,9
mvc,20
intraop,7
intraoperative,37
intertrochanteric,9
fixated,1
intramedullary,12
rod,6
interlocking,3
nail,5
fractured,10
trochanter,9
cystogram,4
pel,1
urethral,6
bloody,11
hematuria,12
motor,54
collision,6
uneventful,68
sagittally,18
pessary,6
leakage,6
extensively,10
heterotopic,1
diverticulum,22
anasarca,56
attempts,46
adjust,1
pedestrian,7
svmc,4
automobile,1
curvature,13
nonurgent,2
intestinal,42
wfluoro,13
postpylorus,1
pass,27
blindly,1
postpyloric,25
application,14
naris,2
stiffened,1
intragastric,2
insufflated,5
secured,57
bridle,1
nasointestinal,13
triangular,13
anterolateral,14
ankle,37
malleloar,1
likley,16
bifem,10
mortise,6
congruent,3
talus,1
bandaging,3
malleolus,1
aortabifemiliac,7
runoff,13
wwwo,7
reconsclip,10
ant,11
tt,82
vertebra,55
injuries,13
extremities,84
calfication,1
popliteals,2
calcificationl,1
tibials,2
peroneals,1
vasospasm,7
mip,10
vr,1
ectasia,18
repair,58
meet,44
malleolar,2
fracturethere,1
highgrade,30
knee,44
fusiform,8
disposition,1
shortterm,20
nonemergent,9
diaphgramatic,1
updated,5
person,14
radiologistclip,3
ivc,381
fitler,1
filter,300
assistance,4
surgeon,3
seconds,4
spot,68
corresponding,131
car,5
delineated,24
wpelvis,2
trochanteric,2
avulsed,1
pyloric,20
pressor,10
smalltomoderatesized,3
greatly,10
yesterdays,28
hilarleft,2
hilus,111
lobar,113
inflammation,50
physiologic,20
ninth,13
kyphoplasty,2
work,31
breathing,62
eating,6
supplemented,3
spectral,11
waveform,28
analysis,44
dressings,15
precluded,4
inability,42
pull,45
broken,6
algorithms,5
projection,71
dlp,14
mgycm,14
aerosolized,18
stump,41
reasonably,3
postprocedural,22
secretion,16
annular,9
multivessel,3
viii,16
intermediate,16
hounsfield,34
units,37
ym,6
supervening,22
malaise,7
rheumatoid,4
arthritis,2
bolus,86
across,37
honeycombed,1
varying,13
embolus,229
likewise,6
dup,17
extext,10
bil,20
mapdvt,13
pneumoniahyponatremia,7
duplex,52
portably,6
antecubital,42
wave,26
forms,19
definitely,33
hold,8
mask,9
wheezing,36
stripe,32
masslike,76
gradually,9
lymphoma,53
ability,8
rims,3
examine,4
malginant,2
thoracocentesis,31
evide,1
jbre,15
throacentesis,1
rather,64
locale,10
confined,7
standpoint,1
allowance,3
paracentesis,30
instance,2
consideration,48
natg,15
sounds,75
accurately,36
aval,2
op,191
correlates,16
midsuperior,3
overloadetc,2
seemed,2
centimeters,29
placementrelated,2
complication,45
holds,11
haze,16
possibilities,17
reconstruction,144
perfed,3
viscous,7
metdzro,2
airevaluate,2
debility,26
hypoenhancing,18
encasing,57
discretely,5
vicarious,9
subcapsular,12
pancreatic,102
diverticulae,7
tracks,18
instrumented,1
significance,75
characterization,65
sagittaly,1
distension,40
diverticuosis,1
thr,1
lap,46
sit,7
processeval,2
hemidiaphragms,32
fullnes,1
lymphadenpathy,2
pernumonia,1
ruled,33
lr,6
perfd,2
prosthesis,22
assesss,4
involvemen,2
metsperforated,1
scapula,18
gutters,7
conglomerate,82
paraaortic,35
aortocaval,11
peritoneal,45
points,8
closed,10
adhesions,7
terminal,9
ileum,16
progress,25
appropraite,1
pneumonic,39
providers,1
satisfactorily,11
atelectasisconsolidation,62
oval,17
shaped,22
shadows,11
co,56
inc,37
compare,101
pri,2
contralateral,40
cardiovascular,8
ogtassess,2
enteric,24
know,13
silhouetting,7
lunc,6
helicallyacquired,9
pathologicallyenlarged,1
higher,31
remarkable,23
callus,8
repesenting,1
nodal,85
sensory,6
cri,2
yes,6
choyke,6
diskosteophytes,1
disk,13
protrusions,3
lordosis,7
cervicomedullary,3
leading,20
deformity,126
accentuation,8
kyphosis,17
protrusion,30
attl,1
broad,14
upwards,12
clues,2
congenitally,5
hypoplastic,19
beam,4
kideny,1
asymmetrically,8
lethargy,33
dual,44
edemachf,1
hemptysis,2
ivf,11
dualchamber,5
visapaque,22
unexplained,11
visipaque,7
osmolar,2
wiv,6
circumferentially,9
encased,25
deformation,1
bronchogenic,42
provider,3
superfiscal,1
ceraxl,1
ing,1
necksoft,1
rt,157
enl,1
stroketelemetrytransient,15
attack,30
ln,15
interventional,24
alternatives,40
wife,9
identifiers,23
specimen,9
adequacy,7
inr,50
thorasic,18
diagthe,4
anesthetized,14
transpedicular,14
core,53
pedicle,50
samples,30
interservice,2
interventionalist,1
fragments,26
moment,4
aligned,13
lucencies,47
bowing,6
indistinct,32
paravertebral,19
marginal,20
fa,64
seminal,28
vesicles,27
prevertebral,28
equivocal,32
necks,3
evalauation,1
mmleft,1
vertebrectomy,16
technical,56
postt,3
standing,22
spanning,22
reexpansion,265
throacic,19
vertebroplasty,45
showed,78
eft,1
extracavity,1
extra,26
intraoperatively,4
intervertebral,41
omr,22
radiotracer,16
kneesleft,1
intertarsal,1
affecting,21
knees,9
void,18
redness,5
gout,8
bimalleolar,1
postpull,9
noticeable,1
bedrest,7
rest,57
firstname,14
evacuated,25
parietoocciptal,1
reexpanded,26
evacuation,26
compressed,39
mapping,35
tuesday,3
gadavist,49
parietaloccipital,2
iw,1
multiloculated,18
upon,145
anatomically,3
planning,113
reads,3
ataxia,25
dizziness,29
considerations,42
opinion,4
tv,16
frontoparietal,43
